"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30303","Enable push notifications from profile settings","","Thu Jan 30 17:56:29 UTC 2025","broken","Thu Jan 30 17:57:00 UTC 2025","","Push Notification Settings","",""
"","36084","Can swap USDT to Naira","","Thu Jan 30 18:00:56 UTC 2025","broken","Thu Jan 30 18:01:32 UTC 2025","","Token Swap","",""
"","37323","Can swap USDC to Naira","","Thu Jan 30 18:01:32 UTC 2025","broken","Thu Jan 30 18:02:10 UTC 2025","","Token Swap","",""
"","33330","Attempt to change password with invalid current password","","Thu Jan 30 17:57:37 UTC 2025","passed","Thu Jan 30 17:58:11 UTC 2025","","Password change","",""
"","31699","Push notifications enabled during login","","Thu Jan 30 17:57:00 UTC 2025","broken","Thu Jan 30 17:57:31 UTC 2025","","Push Notification Settings","",""
"","56773","Create Naira Deposit Transaction","","Thu Jan 30 17:53:14 UTC 2025","broken","Thu Jan 30 17:54:11 UTC 2025","","Deposit","",""
"","37530","Cannot swap USDC to Naira with low balance","","Thu Jan 30 18:00:19 UTC 2025","broken","Thu Jan 30 18:00:56 UTC 2025","","Token Swap","",""
"","41252","Apply for Naira loan","","Thu Jan 30 17:54:17 UTC 2025","broken","Thu Jan 30 17:54:58 UTC 2025","","Loan","",""
"","42326","Send USDT to a wallet address","","Thu Jan 30 17:58:17 UTC 2025","passed","Thu Jan 30 17:58:59 UTC 2025","","Send Cryptocurrency","",""
"","35903","Cannot swap USDT to Naira with low balance","","Thu Jan 30 17:59:43 UTC 2025","broken","Thu Jan 30 18:00:19 UTC 2025","","Token Swap","",""
"","30730","Logout after login","","Thu Jan 30 17:55:53 UTC 2025","broken","Thu Jan 30 17:56:24 UTC 2025","","Authentication","",""
"","34055","Deposit USDC to wallet","","Thu Jan 30 17:52:40 UTC 2025","passed","Thu Jan 30 17:53:14 UTC 2025","","Deposit","",""
"","38624","Deposit USDT to wallet","","Thu Jan 30 17:52:02 UTC 2025","passed","Thu Jan 30 17:52:40 UTC 2025","","Deposit","",""
"","34839","Repay latest loan in full","","Thu Jan 30 17:54:58 UTC 2025","broken","Thu Jan 30 17:55:33 UTC 2025","","Loan","",""
"","37205","Attempt to change transaction pin with same pin","","Thu Jan 30 18:02:16 UTC 2025","passed","Thu Jan 30 18:02:53 UTC 2025","","Transaction Pin Management","",""
"","32034","Signup with valid credentials","","Thu Jan 30 17:59:05 UTC 2025","passed","Thu Jan 30 17:59:37 UTC 2025","","Create new user","",""
"","13824","Login with valid credentials","","Thu Jan 30 17:55:39 UTC 2025","passed","Thu Jan 30 17:55:53 UTC 2025","","Authentication","",""
